poss_logfile	elapsed	vox/s	voxT0	voxT1	voxT2	expectedsec	remainingsec
possumlog_0002	58	0.000	0	0	0	58	0
possumlog_0003	45	0.000	0	0	0	45	0
possumlog_0004	73	0.000	0	0	0	73	0
possumlog_0005	79	0.000	0	0	0	79	0
possumlog_0006	85	0.000	0	0	0	85	0
possumlog_0007	94	0.000	0	0	0	94	0
possumlog_0008	95	0.000	0	0	0	95	0
possumlog_0009	115	0.000	0	0	0	115	0
possumlog_0010	119	0.000	0	0	0	119	0
possumlog_0011	121	0.000	0	0	0	121	0
possumlog_0012	139	0.000	0	0	0	139	0
possumlog_0013	141	0.000	0	0	0	141	0
possumlog_0014	156	0.000	0	0	0	156	0
possumlog_0015	156	0.000	0	0	0	156	0
possumlog_0016	162	0.000	0	0	0	162	0
possumlog_0017	182	0.000	0	0	0	182	0
possumlog_0018	188	0.000	0	0	0	188	0
possumlog_0019	196	0.000	0	0	0	196	0
possumlog_0020	201	0.000	0	0	0	201	0
possumlog_0021	213	0.000	0	0	0	213	0
possumlog_0022	225	0.000	0	0	0	225	0
possumlog_0023	235	0.000	0	0	0	235	0
possumlog_0024	236	0.000	0	0	0	236	0
possumlog_0025	303	0.099	2	0	28	303	0
possumlog_0026	2474	0.308	340	0	423	2474	0
possumlog_0027	4954	0.313	698	1	851	4954	0
possumlog_0028	10147	0.264	1339	15	1327	10147	0
possumlog_0029	15670	0.225	1961	50	1509	15670	0
possumlog_0030	12005	0.346	2440	184	1527	12005	0
possumlog_0031	19159	0.259	2947	381	1641	19159	0
possumlog_0032	20876	0.273	3345	572	1779	20876	0
possumlog_0033	19525	0.330	3719	731	1996	19525	0
possumlog_0034	24945	0.284	4108	893	2077	24945	0
possumlog_0035	27441	0.282	4482	1075	2170	27441	0
possumlog_0036	20392	0.413	4831	1275	2316	20392	0
possumlog_0037	28581	0.314	5110	1487	2388	28581	0
possumlog_0038	36993	0.260	5315	1741	2553	36993	0
possumlog_0039	39535	0.259	5541	1924	2784	39535	0
possumlog_0040	38157	0.285	5787	2085	3007	38157	0
possumlog_0041	35613	0.322	6030	2240	3181	35613	0
possumlog_0042	28900	0.420	6385	2377	3366	28900	0
possumlog_0043	47970	0.269	6804	2583	3517	47970	0
possumlog_0044	50978	0.267	7208	2787	3631	50978	0
possumlog_0045	39360	0.361	7454	3091	3645	39360	0
possumlog_0046	79052	0.158	7582	3303	3070?	88224.7	9172.7
possumlog_0047	55028	0.278	7827	3541	3906	55028	0
possumlog_0048	58849	0.267	7996	3746	3972	58849	0
possumlog_0049	56622	0.285	8173	3916	4060	56622	0
possumlog_0050	57701	0.286	8309	4110	4081	57701	0
possumlog_0051	56373	0.298	8439	4307	4075	56373	0
possumlog_0052	46708	0.373	8632	4546	4246	46708	0
possumlog_0053	47802	0.373	8730	4721	4388	47802	0
possumlog_0054	59436	0.305	8717	5008	4409	59436	0
possumlog_0055	41893	0.436	8638	5296	4330	41893	0
